Gene	P1490_PCD_09122016-0	P1490_PCD_27082020-0	P3390_PCD_08032024-0	P3390_PCD_19082024-0	P3390_PCD_30092020-0	P4703_CF_16022007-0	P4703_CF_18022015-0	P4703_CF_XXXX2000-0	P6004_CF_19062007-0	P6004_CF_28052021-0	P6004_CF_30102015-0	NumAsm_WiGene	NumAsm_WiGene_DNASeq
group_4278	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4276	1	1	1	1	1	1	1	1	1	1	1	11	11
ybaB	1	1	1	1	1	1	1	1	1	1	1	11	11
sspB	1	1	1	1	1	1	1	1	1	1	1	11	11
tauE	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4270	1	1	1	1	1	1	1	1	1	1	1	11	11
hemB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4265	1	1	1	1	1	1	1	1	1	1	1	11	11
kynA	1	1	1	1	1	1	1	1	1	1	1	11	11
radC	1	1	1	1	1	1	1	1	1	1	1	11	11
srmB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4261	1	1	1	1	1	1	1	1	1	1	1	11	11
dacB	1	1	1	1	1	1	1	1	1	1	1	11	11
cysG	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4259	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4258	1	1	1	1	1	1	1	1	1	1	1	11	11
cyoD	1	1	1	1	1	1	1	1	1	1	1	11	11
catC	1	1	1	1	1	1	1	1	1	1	1	11	11
artM	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4254	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4252	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4250	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4247	1	1	1	1	1	1	1	1	1	1	1	11	11
frr	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4241	1	1	1	1	1	1	1	1	1	1	1	11	11
nphR	1	1	1	1	1	1	1	1	1	1	1	11	11
glnE	1	1	1	1	1	1	1	1	1	1	1	11	11
tesA	1	1	1	1	1	1	1	1	1	1	1	11	11
cynT	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4236	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4233	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4224	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4223	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4222	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4219	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4218	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4217	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4216	1	1	1	1	1	1	1	1	1	1	1	11	11
siaA	1	1	1	1	1	1	1	1	1	1	1	11	11
livG~~~lptB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4214	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4208	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4207	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4206	1	1	1	1	1	1	1	1	1	1	1	11	11
alr	1	1	1	1	1	1	1	1	1	1	1	11	11
selO	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4204	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4203	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4201	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4200	1	1	1	1	1	1	1	1	1	1	1	11	11
mdoB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4195	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4194	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4192	1	1	1	1	1	1	1	1	1	1	1	11	11
tsaB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4188	1	1	1	1	1	1	1	1	1	1	1	11	11
phaC	1	1	1	1	1	1	1	1	1	1	1	11	11
hisF	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4185	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4181	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4180	1	1	1	1	1	1	1	1	1	1	1	11	11
tsf	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4176	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4175	1	1	1	1	1	1	1	1	1	1	1	11	11
pspE	1	1	1	1	1	1	1	1	1	1	1	11	11
yqhA	1	1	1	1	1	1	1	1	1	1	1	11	11
adk	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4174	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4172	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4171	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4167	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4166	1	1	1	1	1	1	1	1	1	1	1	11	11
lysR~~~pgrR	1	1	1	1	1	1	1	1	1	1	1	11	11
ppiB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4163	1	1	1	1	1	1	1	1	1	1	1	11	11
nth	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4161	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4160	1	1	1	1	1	1	1	1	1	1	1	11	11
ligA	1	1	1	1	1	1	1	1	1	1	1	11	11
bolA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4152	1	1	1	1	1	1	1	1	1	1	1	11	11
flgF	1	1	1	1	1	1	1	1	1	1	1	11	11
mpfA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4149	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4144	1	1	1	1	1	1	1	1	1	1	1	11	11
lptA	1	1	1	1	1	1	1	1	1	1	1	11	11
dxs	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4141	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4140	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4139	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4132	1	1	1	1	1	1	1	1	1	1	1	11	11
yffB	1	1	1	1	1	1	1	1	1	1	1	11	11
thiD	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4129	1	1	1	1	1	1	1	1	1	1	1	11	11
minC	1	1	1	1	1	1	1	1	1	1	1	11	11
phnD	1	1	1	1	1	1	1	1	1	1	1	11	11
ndh	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4124	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4123	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4122	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4121	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4120	1	1	1	1	1	1	1	1	1	1	1	11	11
glnD	1	1	1	1	1	1	1	1	1	1	1	11	11
dapC	1	1	1	1	1	1	1	1	1	1	1	11	11
dapE	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4113	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4112	1	1	1	1	1	1	1	1	1	1	1	11	11
dcp	1	1	1	1	1	1	1	1	1	1	1	11	11
proV	1	1	1	1	1	1	1	1	1	1	1	11	11
proX	1	1	1	1	1	1	1	1	1	1	1	11	11
purN	1	1	1	1	1	1	1	1	1	1	1	11	11
ileS	1	1	1	1	1	1	1	1	1	1	1	11	11
hpnC	1	1	1	1	1	1	1	1	1	1	1	11	11
hpnE	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4091	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4090	1	1	1	1	1	1	1	1	1	1	1	11	11
motB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4084	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4080	1	1	1	1	1	1	1	1	1	1	1	11	11
rlpA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4079	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4078	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4077	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4076	1	1	1	1	1	1	1	1	1	1	1	11	11
eamA~~~rhaT	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4072	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4069	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4068	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4066	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4065	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4064	1	1	1	1	1	1	1	1	1	1	1	11	11
recO	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4062	1	1	1	1	1	1	1	1	1	1	1	11	11
yigI	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4061	1	1	1	1	1	1	1	1	1	1	1	11	11
apt	1	1	1	1	1	1	1	1	1	1	1	11	11
fAA1	1	1	1	1	1	1	1	1	1	1	1	11	11
fdnI	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4052	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4050	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4049	1	1	1	1	1	1	1	1	1	1	1	11	11
bapA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4045	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4044	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4043	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4041	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4039	1	1	1	1	1	1	1	1	1	1	1	11	11
cysN	1	1	1	1	1	1	1	1	1	1	1	11	11
glyS	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4037	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4035	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4030	1	1	1	1	1	1	1	1	1	1	1	11	11
metE	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4028	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4027	1	1	1	1	1	1	1	1	1	1	1	11	11
azlC~~~ygaZ	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4025	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4023	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4022	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4021	1	1	1	1	1	1	1	1	1	1	1	11	11
mltB	1	1	1	1	1	1	1	1	1	1	1	11	11
fliK	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4019	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4018	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4013	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4012	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4011	1	1	1	1	1	1	1	1	1	1	1	11	11
bamC	1	1	1	1	1	1	1	1	1	1	1	11	11
spoIVFB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4006	1	1	1	1	1	1	1	1	1	1	1	11	11
aspT	1	1	1	1	1	1	1	1	1	1	1	11	11
group_4004	1	1	1	1	1	1	1	1	1	1	1	11	11
gtdA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3997	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3996	1	1	1	1	1	1	1	1	1	1	1	11	11
acd	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3995	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3994	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3991	1	1	1	1	1	1	1	1	1	1	1	11	11
dps	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3990	1	1	1	1	1	1	1	1	1	1	1	11	11
ispE	1	1	1	1	1	1	1	1	1	1	1	11	11
mutM	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3987	1	1	1	1	1	1	1	1	1	1	1	11	11
mutS2	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3984	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3983	1	1	1	1	1	1	1	1	1	1	1	11	11
alkA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3976	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3972	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3966	1	1	1	1	1	1	1	1	1	1	1	11	11
ybbP	1	1	1	1	1	1	1	1	1	1	1	11	11
ddpC~~~dppC	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3965	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3960	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3959	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3958	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3957	1	1	1	1	1	1	1	1	1	1	1	11	11
fabD	1	1	1	1	1	1	1	1	1	1	1	11	11
plsX	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3946	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3945	1	1	1	1	1	1	1	1	1	1	1	11	11
styD	1	1	1	1	1	1	1	1	1	1	1	11	11
paaX	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3943	1	1	1	1	1	1	1	1	1	1	1	11	11
glnS	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3937	1	1	1	1	1	1	1	1	1	1	1	11	11
hemH	1	1	1	1	1	1	1	1	1	1	1	11	11
nadK	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3929	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3926	1	1	1	1	1	1	1	1	1	1	1	11	11
pgk	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3923	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3916	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3915	1	1	1	1	1	1	1	1	1	1	1	11	11
pepN	1	1	1	1	1	1	1	1	1	1	1	11	11
pheT	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3913	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3912	1	1	1	1	1	1	1	1	1	1	1	11	11
ybeY	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3910	1	1	1	1	1	1	1	1	1	1	1	11	11
trpC	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3908	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3904	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3901	1	1	1	1	1	1	1	1	1	1	1	11	11
gatC	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3896	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3895	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3893	1	1	1	1	1	1	1	1	1	1	1	11	11
cheR	1	1	1	1	1	1	1	1	1	1	1	11	11
ntrC	1	1	1	1	1	1	1	1	1	1	1	11	11
recX	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3888	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3886	1	1	1	1	1	1	1	1	1	1	1	11	11
kdpD	1	1	1	1	1	1	1	1	1	1	1	11	11
asd	1	1	1	1	1	1	1	1	1	1	1	11	11
paaN	1	1	1	1	1	1	1	1	1	1	1	11	11
paaD	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3881	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3878	1	1	1	1	1	1	1	1	1	1	1	11	11
coq7	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3876	1	1	1	1	1	1	1	1	1	1	1	11	11
frmR	1	1	1	1	1	1	1	1	1	1	1	11	11
yhhQ	1	1	1	1	1	1	1	1	1	1	1	11	11
ygbK	1	1	1	1	1	1	1	1	1	1	1	11	11
lysR~~~gltR	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3872	1	1	1	1	1	1	1	1	1	1	1	11	11
lpqC	1	1	1	1	1	1	1	1	1	1	1	11	11
obgE	1	1	1	1	1	1	1	1	1	1	1	11	11
queA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3868	1	1	1	1	1	1	1	1	1	1	1	11	11
eda	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3862	1	1	1	1	1	1	1	1	1	1	1	11	11
dadA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3861	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3859	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3858	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3856	1	1	1	1	1	1	1	1	1	1	1	11	11
rnfH	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3851	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3850	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3849	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3848	1	1	1	1	1	1	1	1	1	1	1	11	11
phyH	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3846	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3844	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3843	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3840	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3839	1	1	1	1	1	1	1	1	1	1	1	11	11
aceK	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3834	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3831	1	1	1	1	1	1	1	1	1	1	1	11	11
pyrC	1	1	1	1	1	1	1	1	1	1	1	11	11
murD	1	1	1	1	1	1	1	1	1	1	1	11	11
lspA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3824	1	1	1	1	1	1	1	1	1	1	1	11	11
lysR~~~cmpR	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3822	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3821	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3813	1	1	1	1	1	1	1	1	1	1	1	11	11
clcA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3810	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3807	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3806	1	1	1	1	1	1	1	1	1	1	1	11	11
prpD	1	1	1	1	1	1	1	1	1	1	1	11	11
fmdB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3796	1	1	1	1	1	1	1	1	1	1	1	11	11
atzF	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3791	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3788	1	1	1	1	1	1	1	1	1	1	1	11	11
nuoC	1	1	1	1	1	1	1	1	1	1	1	11	11
aRO8~~~gabR	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3785	1	1	1	1	1	1	1	1	1	1	1	11	11
prfA	1	1	1	1	1	1	1	1	1	1	1	11	11
wcaG	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3779	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3778	1	1	1	1	1	1	1	1	1	1	1	11	11
lolD	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3774	1	1	1	1	1	1	1	1	1	1	1	11	11
ftsB	1	1	1	1	1	1	1	1	1	1	1	11	11
rodZ	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3769	1	1	1	1	1	1	1	1	1	1	1	11	11
dosC	1	1	1	1	1	1	1	1	1	1	1	11	11
hisZ	1	1	1	1	1	1	1	1	1	1	1	11	11
ugpC~~~msiK	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3765	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3764	1	1	1	1	1	1	1	1	1	1	1	11	11
hemF	1	1	1	1	1	1	1	1	1	1	1	11	11
ectA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3759	1	1	1	1	1	1	1	1	1	1	1	11	11
proC	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3753	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3752	1	1	1	1	1	1	1	1	1	1	1	11	11
queF	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3749	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3748	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3745	1	1	1	1	1	1	1	1	1	1	1	11	11
fadR~~~lutR	1	1	1	1	1	1	1	1	1	1	1	11	11
yorC	1	1	1	1	1	1	1	1	1	1	1	11	11
fadB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3735	1	1	1	1	1	1	1	1	1	1	1	11	11
serS	1	1	1	1	1	1	1	1	1	1	1	11	11
thrC	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3734	1	1	1	1	1	1	1	1	1	1	1	11	11
tssL	1	1	1	1	1	1	1	1	1	1	1	11	11
tssJ	1	1	1	1	1	1	1	1	1	1	1	11	11
hisC	1	1	1	1	1	1	1	1	1	1	1	11	11
bamB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3732	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3731	1	1	1	1	1	1	1	1	1	1	1	11	11
nuoE	1	1	1	1	1	1	1	1	1	1	1	11	11
cytC556	1	1	1	1	1	1	1	1	1	1	1	11	11
cYT1	1	1	1	1	1	1	1	1	1	1	1	11	11
petA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3722	1	1	1	1	1	1	1	1	1	1	1	11	11
amiC	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3720	1	1	1	1	1	1	1	1	1	1	1	11	11
murG	1	1	1	1	1	1	1	1	1	1	1	11	11
ddlA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3718	1	1	1	1	1	1	1	1	1	1	1	11	11
ypjD	1	1	1	1	1	1	1	1	1	1	1	11	11
hemW	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3715	1	1	1	1	1	1	1	1	1	1	1	11	11
ppnN	1	1	1	1	1	1	1	1	1	1	1	11	11
boxC	1	1	1	1	1	1	1	1	1	1	1	11	11
boxA	1	1	1	1	1	1	1	1	1	1	1	11	11
araC~~~feaR	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3714	1	1	1	1	1	1	1	1	1	1	1	11	11
odhB	1	1	1	1	1	1	1	1	1	1	1	11	11
alphaE	1	1	1	1	1	1	1	1	1	1	1	11	11
fAU1	1	1	1	1	1	1	1	1	1	1	1	11	11
thiF	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3708	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3707	1	1	1	1	1	1	1	1	1	1	1	11	11
rseA	1	1	1	1	1	1	1	1	1	1	1	11	11
gatA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3705	1	1	1	1	1	1	1	1	1	1	1	11	11
cysQ~~~suhB	1	1	1	1	1	1	1	1	1	1	1	11	11
pagP	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3702	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3699	1	1	1	1	1	1	1	1	1	1	1	11	11
infB	1	1	1	1	1	1	1	1	1	1	1	11	11
allD	1	1	1	1	1	1	1	1	1	1	1	11	11
glcE	1	1	1	1	1	1	1	1	1	1	1	11	11
nuoN	1	1	1	1	1	1	1	1	1	1	1	11	11
ygaA~~~dedA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3690	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3688	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3685	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3684	1	1	1	1	1	1	1	1	1	1	1	11	11
yqjQ	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3682	1	1	1	1	1	1	1	1	1	1	1	11	11
fliH	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3678	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3677	1	1	1	1	1	1	1	1	1	1	1	11	11
atpH	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3675	1	1	1	1	1	1	1	1	1	1	1	11	11
mltE	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3674	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3673	1	1	1	1	1	1	1	1	1	1	1	11	11
ubiJ	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3672	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3671	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3670	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3669	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3667	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3666	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3665	1	1	1	1	1	1	1	1	1	1	1	11	11
btuD~~~dppD	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3660	1	1	1	1	1	1	1	1	1	1	1	11	11
uppP	1	1	1	1	1	1	1	1	1	1	1	11	11
mnmE	1	1	1	1	1	1	1	1	1	1	1	11	11
ruvC	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3656	1	1	1	1	1	1	1	1	1	1	1	11	11
pccA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3655	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3653	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3652	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3651	1	1	1	1	1	1	1	1	1	1	1	11	11
rfaZ	1	1	1	1	1	1	1	1	1	1	1	11	11
emrA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3648	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3646	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3645	1	1	1	1	1	1	1	1	1	1	1	11	11
bauB	1	1	1	1	1	1	1	1	1	1	1	11	11
brkB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3644	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3643	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3642	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3641	1	1	1	1	1	1	1	1	1	1	1	11	11
ftsY	1	1	1	1	1	1	1	1	1	1	1	11	11
sdaA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3636	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3634	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3633	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3631	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3630	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3628	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3621	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3620	1	1	1	1	1	1	1	1	1	1	1	11	11
amiD	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3619	1	1	1	1	1	1	1	1	1	1	1	11	11
cmk	1	1	1	1	1	1	1	1	1	1	1	11	11
yccS	1	1	1	1	1	1	1	1	1	1	1	11	11
ftsL	1	1	1	1	1	1	1	1	1	1	1	11	11
murF	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3618	1	1	1	1	1	1	1	1	1	1	1	11	11
rspR	1	1	1	1	1	1	1	1	1	1	1	11	11
rraA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3615	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3609	1	1	1	1	1	1	1	1	1	1	1	11	11
sdhD	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3607	1	1	1	1	1	1	1	1	1	1	1	11	11
dppA	1	1	1	1	1	1	1	1	1	1	1	11	11
lepB	1	1	1	1	1	1	1	1	1	1	1	11	11
degQ	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3605	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3604	1	1	1	1	1	1	1	1	1	1	1	11	11
truB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3603	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3602	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3599	1	1	1	1	1	1	1	1	1	1	1	11	11
nikC	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3597	1	1	1	1	1	1	1	1	1	1	1	11	11
folP	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3593	1	1	1	1	1	1	1	1	1	1	1	11	11
group_3589	1	1	1	1	1	1	1	1	1	1	1	11	11
rsmG	1	1	1	1	1	1	1	1	1	1	1	11	11
